 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Aramid Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3700E+00 g/cm3 = 8.8746E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    028.75    003.12   
      C      6    057.50    074.29   
      O      8    008.75    015.06   
      N      7    005.00    007.53   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   7.410E-02  4.063E-05  283.00 um    11.92 um     8.24 um  
   5.50 MeV   6.876E-02  3.731E-05  334.04 um    14.07 um     9.64 um  
   6.00 MeV   6.420E-02  3.451E-05  388.88 um    16.21 um    11.14 um  
   6.50 MeV   6.025E-02  3.213E-05  447.46 um    18.36 um    12.74 um  
   7.00 MeV   5.681E-02  3.006E-05  509.73 um    20.53 um    14.42 um  
   8.00 MeV   5.106E-02  2.667E-05  645.05 um    28.37 um    18.08 um  
   9.00 MeV   4.646E-02  2.399E-05  794.67 um    35.72 um    22.09 um  
  10.00 MeV   4.269E-02  2.182E-05  958.31 um    42.91 um    26.46 um  
  11.00 MeV   3.953E-02  2.002E-05    1.14 mm    50.09 um    31.17 um  
  12.00 MeV   3.684E-02  1.851E-05    1.33 mm    57.33 um    36.22 um  
  13.00 MeV   3.453E-02  1.722E-05    1.53 mm    64.65 um    41.60 um  
  14.00 MeV   3.251E-02  1.610E-05    1.75 mm    72.08 um    47.31 um  
  15.00 MeV   3.074E-02  1.513E-05    1.98 mm    79.64 um    53.34 um  
  16.00 MeV   2.917E-02  1.427E-05    2.22 mm    87.33 um    59.69 um  
  17.00 MeV   2.776E-02  1.351E-05    2.48 mm    95.15 um    66.35 um  
  18.00 MeV   2.650E-02  1.283E-05    2.75 mm   103.10 um    73.31 um  
  20.00 MeV   2.432E-02  1.166E-05    3.32 mm   132.44 um    88.16 um  
  22.50 MeV   2.210E-02  1.048E-05    4.11 mm   174.40 um   108.40 um  
  25.00 MeV   2.028E-02  9.520E-06    4.97 mm   214.28 um   130.44 um  
  27.50 MeV   1.877E-02  8.730E-06    5.90 mm   253.43 um   154.25 um  
  30.00 MeV   1.749E-02  8.065E-06    6.91 mm   292.48 um   179.78 um  
  32.50 MeV   1.639E-02  7.498E-06    7.98 mm   331.72 um   206.99 um  
  35.00 MeV   1.544E-02  7.008E-06    9.13 mm   371.34 um   235.84 um  
  37.50 MeV   1.460E-02  6.581E-06   10.34 mm   411.43 um   266.31 um  
  40.00 MeV   1.386E-02  6.204E-06   11.62 mm   452.05 um   298.36 um  
  45.00 MeV   1.261E-02  5.572E-06   14.38 mm   601.58 um   367.09 um  
  50.00 MeV   1.160E-02  5.060E-06   17.40 mm   742.19 um   441.81 um  
  55.00 MeV   1.075E-02  4.637E-06   20.66 mm   879.34 um   522.30 um  
  60.00 MeV   1.004E-02  4.282E-06   24.17 mm     1.02 mm   608.37 um  
  65.00 MeV   9.428E-03  3.980E-06   27.92 mm     1.15 mm   699.84 um  
  70.00 MeV   8.899E-03  3.718E-06   31.89 mm     1.29 mm   796.54 um  
  80.00 MeV   8.028E-03  3.289E-06   40.52 mm     1.79 mm     1.01 mm  
  90.00 MeV   7.340E-03  2.952E-06   50.02 mm     2.25 mm     1.23 mm  
 100.00 MeV   6.782E-03  2.680E-06   60.35 mm     2.69 mm     1.48 mm  
 110.00 MeV   6.320E-03  2.455E-06   71.49 mm     3.14 mm     1.74 mm  
 120.00 MeV   5.931E-03  2.266E-06   83.40 mm     3.58 mm     2.02 mm  
 130.00 MeV   5.599E-03  2.105E-06   96.05 mm     4.02 mm     2.31 mm  
 140.00 MeV   5.312E-03  1.966E-06  109.42 mm     4.46 mm     2.62 mm  
 150.00 MeV   5.062E-03  1.845E-06  123.48 mm     4.90 mm     2.95 mm  
 160.00 MeV   4.841E-03  1.738E-06  138.21 mm     5.35 mm     3.28 mm  
 170.00 MeV   4.646E-03  1.644E-06  153.58 mm     5.79 mm     3.63 mm  
 180.00 MeV   4.471E-03  1.559E-06  169.58 mm     6.24 mm     3.99 mm  
 200.00 MeV   4.173E-03  1.415E-06  203.34 mm     7.90 mm     4.75 mm  
 225.00 MeV   3.872E-03  1.269E-06  248.70 mm    10.23 mm     5.75 mm  
 250.00 MeV   3.630E-03  1.151E-06  297.33 mm    12.38 mm     6.81 mm  
 275.00 MeV   3.431E-03  1.054E-06  349.00 mm    14.43 mm     7.92 mm  
 300.00 MeV   3.264E-03  9.724E-07  403.48 mm    16.42 mm     9.07 mm  
 325.00 MeV   3.124E-03  9.029E-07  460.57 mm    18.36 mm    10.27 mm  
 350.00 MeV   3.003E-03  8.430E-07  520.10 mm    20.26 mm    11.50 mm  
 375.00 MeV   2.898E-03  7.907E-07  581.89 mm    22.13 mm    12.76 mm  
 400.00 MeV   2.807E-03  7.448E-07  645.81 mm    23.98 mm    14.05 mm  
 450.00 MeV   2.656E-03  6.677E-07  779.38 mm    30.65 mm    16.70 mm  
 500.00 MeV   2.535E-03  6.055E-07  919.93 mm    36.65 mm    19.43 mm  
 550.00 MeV   2.438E-03  5.542E-07    1.07 m     42.24 mm    22.21 mm  
 600.00 MeV   2.358E-03  5.111E-07    1.22 m     47.53 mm    25.04 mm  
 650.00 MeV   2.291E-03  4.745E-07    1.38 m     52.58 mm    27.90 mm  
 700.00 MeV   2.235E-03  4.428E-07    1.54 m     57.44 mm    30.78 mm  
 800.00 MeV   2.146E-03  3.911E-07    1.87 m     74.51 mm    36.58 mm  
 900.00 MeV   2.079E-03  3.505E-07    2.22 m     89.31 mm    42.37 mm  
   1.00 GeV   2.028E-03  3.177E-07    2.57 m    102.68 mm    48.14 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3700E+01                 eV / Angstrom 
  1.3700E+02                keV / micron   
  1.3700E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.5437E+01                 eV / (1E15 atoms/cm2)
  7.6339E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
