 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Glass Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7000E+00 g/cm3 = 8.3236E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    028.36    002.32   
      C      6    026.87    026.24   
      O      8    031.34    040.77   
     Si     14    013.43    030.67   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   6.869E-02  3.817E-05  248.56 um    10.60 um     8.96 um  
   5.50 MeV   6.382E-02  3.507E-05  292.86 um    12.49 um    10.47 um  
   6.00 MeV   5.966E-02  3.245E-05  340.40 um    14.37 um    12.07 um  
   6.50 MeV   5.605E-02  3.022E-05  391.13 um    16.26 um    13.77 um  
   7.00 MeV   5.290E-02  2.829E-05  445.00 um    18.17 um    15.57 um  
   8.00 MeV   4.764E-02  2.510E-05  561.90 um    24.95 um    19.45 um  
   9.00 MeV   4.341E-02  2.259E-05  690.95 um    31.32 um    23.71 um  
  10.00 MeV   3.993E-02  2.056E-05  831.91 um    37.57 um    28.33 um  
  11.00 MeV   3.702E-02  1.887E-05  984.55 um    43.81 um    33.31 um  
  12.00 MeV   3.454E-02  1.745E-05    1.15 mm    50.10 um    38.64 um  
  13.00 MeV   3.240E-02  1.624E-05    1.32 mm    56.47 um    44.31 um  
  14.00 MeV   3.053E-02  1.519E-05    1.51 mm    62.94 um    50.32 um  
  15.00 MeV   2.889E-02  1.428E-05    1.71 mm    69.52 um    56.66 um  
  16.00 MeV   2.743E-02  1.347E-05    1.92 mm    76.21 um    63.33 um  
  17.00 MeV   2.612E-02  1.275E-05    2.14 mm    83.02 um    70.32 um  
  18.00 MeV   2.495E-02  1.211E-05    2.37 mm    89.96 um    77.63 um  
  20.00 MeV   2.292E-02  1.101E-05    2.86 mm   115.11 um    93.19 um  
  22.50 MeV   2.085E-02  9.900E-06    3.53 mm   151.04 um   114.37 um  
  25.00 MeV   1.915E-02  8.999E-06    4.26 mm   185.25 um   137.40 um  
  27.50 MeV   1.774E-02  8.255E-06    5.06 mm   218.88 um   162.25 um  
  30.00 MeV   1.654E-02  7.628E-06    5.92 mm   252.44 um   188.88 um  
  32.50 MeV   1.551E-02  7.094E-06    6.83 mm   286.21 um   217.22 um  
  35.00 MeV   1.462E-02  6.632E-06    7.81 mm   320.31 um   247.26 um  
  37.50 MeV   1.383E-02  6.228E-06    8.84 mm   354.84 um   278.96 um  
  40.00 MeV   1.314E-02  5.873E-06    9.93 mm   389.84 um   312.28 um  
  45.00 MeV   1.197E-02  5.276E-06   12.27 mm   517.07 um   383.67 um  
  50.00 MeV   1.101E-02  4.793E-06   14.83 mm   636.98 um   461.20 um  
  55.00 MeV   1.021E-02  4.394E-06   17.59 mm   754.06 um   544.65 um  
  60.00 MeV   9.541E-03  4.058E-06   20.57 mm   870.29 um   633.81 um  
  65.00 MeV   8.965E-03  3.772E-06   23.74 mm   986.65 um   728.50 um  
  70.00 MeV   8.466E-03  3.525E-06   27.11 mm     1.10 mm   828.55 um  
  80.00 MeV   7.644E-03  3.120E-06   34.41 mm     1.53 mm     1.04 mm  
  90.00 MeV   6.993E-03  2.801E-06   42.44 mm     1.92 mm     1.28 mm  
 100.00 MeV   6.465E-03  2.543E-06   51.18 mm     2.30 mm     1.53 mm  
 110.00 MeV   6.028E-03  2.330E-06   60.58 mm     2.67 mm     1.80 mm  
 120.00 MeV   5.659E-03  2.151E-06   70.64 mm     3.05 mm     2.09 mm  
 130.00 MeV   5.344E-03  1.999E-06   81.31 mm     3.42 mm     2.39 mm  
 140.00 MeV   5.073E-03  1.867E-06   92.59 mm     3.80 mm     2.71 mm  
 150.00 MeV   4.835E-03  1.752E-06  104.45 mm     4.17 mm     3.05 mm  
 160.00 MeV   4.626E-03  1.651E-06  116.87 mm     4.55 mm     3.39 mm  
 170.00 MeV   4.441E-03  1.562E-06  129.82 mm     4.94 mm     3.75 mm  
 180.00 MeV   4.275E-03  1.482E-06  143.30 mm     5.32 mm     4.12 mm  
 200.00 MeV   3.992E-03  1.345E-06  171.74 mm     6.72 mm     4.90 mm  
 225.00 MeV   3.706E-03  1.206E-06  209.92 mm     8.68 mm     5.92 mm  
 250.00 MeV   3.476E-03  1.095E-06  250.83 mm    10.50 mm     7.01 mm  
 275.00 MeV   3.287E-03  1.002E-06  294.27 mm    12.23 mm     8.15 mm  
 300.00 MeV   3.130E-03  9.250E-07  340.05 mm    13.91 mm     9.33 mm  
 325.00 MeV   2.996E-03  8.591E-07  388.01 mm    15.55 mm    10.55 mm  
 350.00 MeV   2.881E-03  8.022E-07  437.99 mm    17.16 mm    11.81 mm  
 375.00 MeV   2.782E-03  7.526E-07  489.86 mm    18.74 mm    13.10 mm  
 400.00 MeV   2.696E-03  7.090E-07  543.48 mm    20.30 mm    14.42 mm  
 450.00 MeV   2.552E-03  6.357E-07  655.48 mm    25.90 mm    17.13 mm  
 500.00 MeV   2.438E-03  5.766E-07  773.25 mm    30.94 mm    19.91 mm  
 550.00 MeV   2.346E-03  5.278E-07  896.07 mm    35.63 mm    22.75 mm  
 600.00 MeV   2.271E-03  4.869E-07    1.02 m     40.07 mm    25.63 mm  
 650.00 MeV   2.208E-03  4.521E-07    1.15 m     44.31 mm    28.54 mm  
 700.00 MeV   2.155E-03  4.220E-07    1.29 m     48.39 mm    31.47 mm  
 800.00 MeV   2.071E-03  3.728E-07    1.57 m     62.63 mm    37.35 mm  
 900.00 MeV   2.009E-03  3.341E-07    1.86 m     74.98 mm    43.23 mm  
   1.00 GeV   1.962E-03  3.029E-07    2.15 m     86.12 mm    49.06 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.6999E+01                 eV / Angstrom 
  1.6999E+02                keV / micron   
  1.6999E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  2.0423E+01                 eV / (1E15 atoms/cm2)
  1.0643E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
