 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Carbon Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5000E+00 g/cm3 = 9.3466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.62    002.36   
      C      6    073.81    091.73   
      O      8    003.57    005.91   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   6.829E-02  3.654E-05  307.01 um    12.93 um     8.74 um  
   6.00 MeV   6.376E-02  3.381E-05  357.44 um    14.90 um    10.10 um  
   6.50 MeV   5.985E-02  3.147E-05  411.31 um    16.87 um    11.55 um  
   7.00 MeV   5.642E-02  2.944E-05  468.57 um    18.87 um    13.08 um  
   8.00 MeV   5.072E-02  2.612E-05  593.00 um    26.07 um    16.40 um  
   9.00 MeV   4.615E-02  2.349E-05  730.58 um    32.82 um    20.04 um  
  10.00 MeV   4.240E-02  2.137E-05  881.06 um    39.44 um    24.00 um  
  11.00 MeV   3.926E-02  1.961E-05    1.04 mm    46.03 um    28.28 um  
  12.00 MeV   3.659E-02  1.813E-05    1.22 mm    52.68 um    32.86 um  
  13.00 MeV   3.430E-02  1.687E-05    1.41 mm    59.41 um    37.74 um  
  14.00 MeV   3.229E-02  1.577E-05    1.61 mm    66.24 um    42.92 um  
  15.00 MeV   3.053E-02  1.482E-05    1.82 mm    73.18 um    48.39 um  
  16.00 MeV   2.897E-02  1.398E-05    2.04 mm    80.24 um    54.15 um  
  17.00 MeV   2.758E-02  1.323E-05    2.28 mm    87.42 um    60.19 um  
  18.00 MeV   2.632E-02  1.256E-05    2.53 mm    94.73 um    66.51 um  
  20.00 MeV   2.416E-02  1.142E-05    3.05 mm   121.70 um    79.98 um  
