 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Aluminum (dense).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.4040E+00 g/cm3 = 1.2061E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   4.719E-02  2.468E-05  147.84 um     6.31 um     6.59 um  
   7.00 MeV   4.462E-02  2.311E-05  167.92 um     7.04 um     7.44 um  
   8.00 MeV   4.031E-02  2.053E-05  211.39 um     9.57 um     9.25 um  
   9.00 MeV   3.683E-02  1.849E-05  259.23 um    11.95 um    11.24 um  
  10.00 MeV   3.396E-02  1.684E-05  311.35 um    14.29 um    13.38 um  
  11.00 MeV   3.155E-02  1.547E-05  367.67 um    16.63 um    15.69 um  
  12.00 MeV   2.949E-02  1.431E-05  428.12 um    18.99 um    18.15 um  
  13.00 MeV   2.771E-02  1.333E-05  492.62 um    21.39 um    20.76 um  
  14.00 MeV   2.615E-02  1.247E-05  561.11 um    23.82 um    23.52 um  
  15.00 MeV   2.478E-02  1.173E-05  633.55 um    26.29 um    26.42 um  
  16.00 MeV   2.355E-02  1.107E-05  709.87 um    28.81 um    29.47 um  
  17.00 MeV   2.246E-02  1.048E-05  790.03 um    31.37 um    32.66 um  
  18.00 MeV   2.147E-02  9.958E-06  873.99 um    33.98 um    35.99 um  
  20.00 MeV   1.976E-02  9.060E-06    1.05 mm    43.19 um    43.07 um  
  22.50 MeV   1.801E-02  8.150E-06    1.30 mm    56.32 um    52.68 um  
  25.00 MeV   1.658E-02  7.412E-06    1.56 mm    68.87 um    63.10 um  
  27.50 MeV   1.538E-02  6.803E-06    1.85 mm    81.22 um    74.31 um  
  30.00 MeV   1.436E-02  6.289E-06    2.16 mm    93.56 um    86.30 um  
  32.50 MeV   1.348E-02  5.851E-06    2.49 mm   105.98 um    99.05 um  
  35.00 MeV   1.271E-02  5.472E-06    2.85 mm   118.54 um   112.53 um  
  37.50 MeV   1.204E-02  5.141E-06    3.22 mm   131.27 um   126.74 um  
  40.00 MeV   1.145E-02  4.850E-06    3.61 mm   144.18 um   141.65 um  
  45.00 MeV   1.044E-02  4.359E-06    4.46 mm   190.16 um   173.56 um  
  50.00 MeV   9.619E-03  3.962E-06    5.38 mm   233.64 um   208.13 um  
  55.00 MeV   8.934E-03  3.634E-06    6.37 mm   276.17 um   245.28 um  
  60.00 MeV   8.354E-03  3.358E-06    7.44 mm   318.44 um   284.91 um  
  65.00 MeV   7.857E-03  3.122E-06    8.58 mm   360.80 um   326.94 um  
  70.00 MeV   7.425E-03  2.919E-06    9.79 mm   403.44 um   371.30 um  
  80.00 MeV   6.713E-03  2.585E-06   12.40 mm   554.81 um   466.72 um  
  90.00 MeV   6.148E-03  2.321E-06   15.27 mm   695.76 um   570.62 um  
 100.00 MeV   5.689E-03  2.109E-06   18.39 mm   832.66 um   682.52 um  
 110.00 MeV   5.309E-03  1.933E-06   21.75 mm   968.05 um   801.98 um  
 120.00 MeV   4.988E-03  1.785E-06   25.34 mm     1.10 mm   928.58 um  
